decision_id,market,profile_key,title,address,observed_sources,observed_categories,observed_source_decisions,profile_status_basis,allowed_manual_decisions,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on,category_group_id,category_rule_pattern,category_rule_reasons,unknown_categories,dental_title_signals,nondental_title_signals,category_nonprovider_signals,suggested_manual_decision,review_tier,suggestion_basis,automatic_final_decision_applied
profile:NYC_NY_L:google:cid:13044985527534183180,NYC_NY_L,google:cid:13044985527534183180,Project Renewal Fort Washington Men's Shelter,"651 W 168th St, New York, NY 10032",business_listings,Homeless shelter,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:488e8f068db9ff30,unknown,,Homeless shelter,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Buffalo_NY_L:google:cid:7759169902728672012,Buffalo_NY_L,google:cid:7759169902728672012,CurlyJanes Crystal Rose,"21 Leroy Ave, Buffalo, NY 14214",business_listings,Herbalist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:4ba8b77a4528c354,unknown,,Herbalist,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Eureka_CA_S:google:cid:637581436883905048,Eureka_CA_S,google:cid:637581436883905048,Casey Kelly,"2200 Tydd St, Eureka, CA 95501",maps_core,Physician assistant,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:4be703df9eed5108,unknown,,Physician assistant,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:7646798875731967891,LA_CA_L,google:cid:7646798875731967891,"InterDent, Inc.","2260 E Imperial Hwy, El Segundo, CA 90245",business_listings,Business to business service,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:4e65f218b0c2f72b,unknown,,Business to business service,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Atlanta_GA_L:google:cid:1014165455047184436,Atlanta_GA_L,google:cid:1014165455047184436,Georgia State University Student Clinic,"75 Piedmont Ave NE Ste 200, Atlanta, GA 30312",maps_core,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Atlanta_GA_L:google:cid:16152439090923692825,Atlanta_GA_L,google:cid:16152439090923692825,Mercy Care at Gateway Center,"275 Pryor St SW, Atlanta, GA 30303",maps_core,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Atlanta_GA_L:google:cid:374081400048267317,Atlanta_GA_L,google:cid:374081400048267317,Whitefoord Health Center,"1401 Hosea L Williams Dr NE, Atlanta, GA 30317",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Atlanta_GA_L:google:cid:16197116083296152898,Atlanta_GA_L,google:cid:16197116083296152898,"Whitefoord, Inc.","35 Whitefoord Ave SE, Atlanta, GA 30317",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Augusta_GA_L:google:cid:15876635400132913439,Augusta_GA_L,google:cid:15876635400132913439,Christ Community Health Peach Orchard,"2604 Peach Orchard Rd #200, Augusta, GA 30906",maps_core,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Augusta_GA_L:google:cid:17592610386023037987,Augusta_GA_L,google:cid:17592610386023037987,Druid Park Community Health Center,"1018 Druid Park Ave, Augusta, GA 30904",maps_core,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
