decision_id,market,profile_key,title,address,observed_sources,observed_categories,observed_source_decisions,profile_status_basis,allowed_manual_decisions,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on
profile:LA_CA_L:google:cid:1498220725156722538,LA_CA_L,google:cid:1498220725156722538,Eisner Health - Downtown Los Angeles,"1530 S Olive St, Los Angeles, CA 90015",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:17835189435584102604,LA_CA_L,google:cid:17835189435584102604,Eisner Health - Lynwood,"3680 E Imperial Hwy #200, Lynwood, CA 90262",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:17016569287748856828,LA_CA_L,google:cid:17016569287748856828,Eisner Health - Sherman Oaks,"Dental Clinic Suite LL, 15477 Ventura Blvd #300, Sherman Oaks, CA 91403",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:7614563752735245075,LA_CA_L,google:cid:7614563752735245075,El Proyecto Del Barrio,"9140 Van Nuys Blvd, Panorama City, CA 91402",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:16910449184619489587,LA_CA_L,google:cid:16910449184619489587,Elite Gum Care,"19500 Ventura Blvd, Tarzana, CA 91356",business_listings,Dental hygienist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:16643914325503616698,LA_CA_L,google:cid:16643914325503616698,Encino Center for Sleep and TMJ Disorders,"16500 Ventura Blvd #370, Encino, CA 91436",business_listings,Sleep clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:13084037250118456891,LA_CA_L,google:cid:13084037250118456891,Endoscopy Center At Skypark,"23441 Madison St, Torrance, CA 90505",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:7991746826427417830,LA_CA_L,google:cid:7991746826427417830,"Erin Lobo Marwah, DDS","23456 Hawthorne Blvd #210, Torrance, CA 90505",business_listings,Denture care center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:9946960038366394730,LA_CA_L,google:cid:9946960038366394730,Express Dental Laboratory,"125 E Glenoaks Blvd #101, Glendale, CA 91207",business_listings,Dental laboratory,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:18146438528046903489,LA_CA_L,google:cid:18146438528046903489,Flintridge Office Oral Surgery & Implant Center,"1370 Foothill Blvd #200, La Cañada Flintridge, CA 91011",business_listings|maps_specialist,Oral surgeon|Surgical center,automatic_include|needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:4180294560927685777,LA_CA_L,google:cid:4180294560927685777,Foster Mall,"13408 Woodruff Ave, Bellflower, CA 90706",business_listings,Shopping mall,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:16173013667061739290,LA_CA_L,google:cid:16173013667061739290,Friends of Family Health Center,"501 S Idaho St, La Habra, CA 90631",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:2743606883750999104,LA_CA_L,google:cid:2743606883750999104,Fullzirconia,"18345 Ventura Blvd, Tarzana, CA 91356",business_listings,Dental laboratory,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:LA_CA_L:google:cid:15046459923282137820,LA_CA_L,google:cid:15046459923282137820,Global Academy of Oral Implantology,"9100 Wilshire Blvd W710, Beverly Hills, CA 90212",business_listings,Educational institution,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
